name,code,owner,type,country,district_name,status,start_date,expiry_date,assets,geometry
PL-10/4 (Collete),PL-10/4 (Collete),Phoenix Resources Limited,Prospecting Licence (Ghanaian),GH,Wa East,Under Review,11/25/2014,11/24/2015,Gold,"POLYGON ((-2.1 10.0791666667,-2.1 10.1291666667,-2.0125 10.1291666667,-2.0125 10.0958333333,-2.0208333333 10.0958333333,-2.0208333333 10.0833333333,-2.025 10.0833333333,-2.025 10.0791666667,-2.1 10.0791666667))"
PL-10/5 (Julie B),PL-10/5 (Julie B),Phoenix Resources Limited,Prospecting Licence (Ghanaian),GH,Wa East,Under Review,1/20/2016,1/19/2017,Gold,"POLYGON ((-2.2125 10.1541666667,-2.0958333333 10.1541666667,-2.0958333333 10.0875,-2.1 10.0875,-2.1 10.0958333333,-2.1041666667 10.0958333333,-2.1041666667 10.1,-2.1083333333 10.1,-2.1083333333 10.1041666667,-2.125 10.1041666667,-2.125 10.1125,-2.1458333333 10.1125,-2.1458333333 10.0875,-2.1708333333 10.0875,-2.1708333333 10.125,-2.2125 10.125,-2.2125 10.1541666667))"
SSMP/9/277,SSMP/9/277,Hajj-One Resources Limited,Small Scale Licence (Wa District),GH,Wa East,Active License,9/16/2020,9/15/2025,"Diamonds,Gold","POLYGON ((-2.0291666667 10.1141666667,-2.0283333333 10.1141666667,-2.0283333333 10.1133333333,-2.0266666667 10.1133333333,-2.0266666667 10.1125,-2.0241666667 10.1125,-2.0241666667 10.1133333333,-2.0225 10.1133333333,-2.0225 10.1125,-2.0233333333 10.1125,-2.0233333333 10.1116666667,-2.0241666667 10.1116666667,-2.0241666667 10.1108333333,-2.025 10.1108333333,-2.025 10.1116666667,-2.0275 10.1116666667,-2.0275 10.1125,-2.0291666667 10.1125,-2.0291666667 10.1141666667))"
SSMP/9/276,SSMP/9/276,Wakeedah Resources Limited,Small Scale Licence (Wa District),GH,Wa East,Active License,9/16/2020,9/15/2025,"Diamonds,Gold","POLYGON ((-2.035 10.1141666667,-2.035 10.115,-2.0341666667 10.115,-2.0341666667 10.1158333333,-2.0325 10.1158333333,-2.0325 10.1141666667,-2.03 10.1141666667,-2.03 10.1133333333,-2.0291666667 10.1133333333,-2.0291666667 10.1125,-2.0316666667 10.1125,-2.0316666667 10.1133333333,-2.0333333333 10.1133333333,-2.0333333333 10.1141666667,-2.035 10.1141666667))"
SSML-W10 2/2023,SSML-W10 2/2023,Hifaks Ghana Ltd.,Small Scale Licence (Wa District),GH,Wa East,Active License,11/28/2023,11/27/2028,Gold,"POLYGON ((-2.2741666667 10.1691666667,-2.2733333333 10.1691666667,-2.2733333333 10.1675,-2.2725 10.1675,-2.2725 10.1666666667,-2.2716666667 10.1666666667,-2.2716666667 10.1633333333,-2.2733333333 10.1633333333,-2.2733333333 10.1666666667,-2.2741666667 10.1666666667,-2.2741666667 10.1691666667))"
RL-10/144,RL-10/144,Multi Lead Limited,Reconnaissance Licence (Ghanaian),GH,Wa East,Active License,8/31/2023,8/30/2024,"Gold,.","POLYGON ((-2.0958 10.15,-1.9917 10.15,-1.9917 10.1042,-2.0958 10.1042,-2.0958 10.15))"
SSML-W10 1/2023,SSML-W10 1/2023,Tegyaabunyeni Limited,Small Scale Licence (Wa District),GH,Wa East,Active License,6/1/2023,5/31/2028,Gold,"POLYGON ((-2.1875 10.0975,-2.1875 10.0983,-2.1883 10.0983,-2.1883 10.0992,-2.1892 10.0992,-2.1892 10.1008,-2.19 10.1008,-2.19 10.1025,-2.1892 10.1025,-2.1892 10.1017,-2.1883 10.1017,-2.1883 10.1008,-2.1875 10.1008,-2.1875 10.1,-2.1867 10.1,-2.1867 10.0983,-2.1858 10.0983,-2.1858 10.0975,-2.1875 10.0975))"
RML-N25-10/99,RML-N25-10/99,Heara 360 Limited Company,Restricted Mining Lease (Ghanaian),GH,Wa Municipal,Active License,11/17/2023,11/16/2028,Granite,"POLYGON ((-2.4583333333 10.0325,-2.4583333333 10.035,-2.455 10.035,-2.455 10.0325,-2.4583333333 10.0325))"
PL10/47,PL10/47,Kambale Graphite Ltd,Prospecting Licence (Ghanaian),GH,Wa Municipal,Active License,5/18/2023,5/17/2026,Gold,"POLYGON ((-2.6166666667 10.1333333333,-2.525 10.1333333333,-2.525 10.0,-2.6166666667 10.0,-2.6166666667 10.1333333333))"
RML-I25-10/19,RML-I25-10/19,TGS Quarry Limited Company,Restricted Mining Lease (Foreign),GH,Wa Municipal,Active License,6/28/2024,6/27/2029,Granite,"POLYGON ((-2.4416666667 10.0416666667,-2.4416666667 10.0458333333,-2.4375 10.0458333333,-2.4375 10.0416666667,-2.4416666667 10.0416666667))"
