name,code,owner,type,country,status,start_date,expiry_date,assets,geometry
ML6/2,ML6/2,Ghana-Russia-CIS Limited,Mining Lease,GH,Active License,2020-02-20,2034-02-19,Gold,"POLYGON ((-1.8541666667 6.4583333333, -1.8333333333 6.4583333333, -1.8333333333 6.4166666667, -1.8458333333 6.4166666667, -1.8458333333 6.4333333333, -1.85 6.4333333333, -1.85 6.4375, -1.8583333333 6.4375, -1.8583333333 6.4458333333, -1.8541666667 6.4458333333, -1.8541666667 6.4583333333, -1.8541666667 6.4583333333))"
ML2/6,ML2/6,OneX International Company Limited,Mining Lease,GH,Active License,2020-01-06,2030-01-05,Gold,"POLYGON ((-2.2208333333 6.1708333333, -2.2166666667 6.1708333333, -2.2166666667 6.1458333333, -2.2375 6.1458333333, -2.2375 6.1875, -2.2333333333 6.1875, -2.2333333333 6.1916666667, -2.2208333333 6.1916666667, -2.2208333333 6.1708333333, -2.2208333333 6.1708333333))"
SL1/86,SL1/86,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Active License,2020-10-29,2035-10-28,Salt,"POLYGON ((0.5083333333 5.7875, 0.4416666667 5.7875, 0.4416666667 5.7958333333, 0.4375 5.7958333333, 0.4375 5.8, 0.4333333333 5.8, 0.4333333333 5.8416666667, 0.4291666667 5.8416666667, 0.4291666667 5.8541666667, 0.4375 5.8541666667, 0.4375 5.8666666667, 0.4458333333 5.8666666667, 0.4458333333 5.8625, 0.4875 5.8625, 0.4875 5.8583333333, 0.4916666667 5.8583333333, 0.4916666667 5.8541666667, 0.5 5.8541666667, 0.5 5.85, 0.5041666667 5.85, 0.5041666667 5.8041666667, 0.5083333333 5.8041666667, 0.5083333333 5.7875, 0.5083333333 5.7875))"
SL1/87,SL1/87,ElectroChem Ghana Limited,Restricted Mining Lease >25 acres (National),GH,Active License,2020-10-29,2035-10-28,Salt,"POLYGON ((0.5833333333 5.7791666667, 0.5416666667 5.7791666667, 0.5416666667 5.7833333333, 0.5083333333 5.7833333333, 0.5083333333 5.8041666667, 0.5041666667 5.8041666667, 0.5041666667 5.85, 0.5458333333 5.85, 0.5458333333 5.8458333333, 0.5833333333 5.8458333333, 0.5833333333 5.7791666667))"
QL6/565,QL6/565,Asona Stone Quarry Company Limited,Restricted Mining Lease >25 acres (National),GH,Active License,2022-03-22,2027-03-21,Granite,"POLYGON ((-1.6608333333 6.29, -1.6566666667 6.29, -1.6566666667 6.2875, -1.6583333333 6.2875, -1.6583333333 6.2883333333, -1.6608333333 6.2883333333, -1.6608333333 6.29))"
SSMP/5/2024,SSMP/5/2024,"Rowgee Ltd., Ramco",Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-04,2025-10-03,Gold,"POLYGON ((-0.43 6.3433333333, -0.4275 6.3433333333, -0.4275 6.34, -0.43 6.34, -0.43 6.3433333333, -0.43 6.3433333333))"
SSMP/WR/2298,SSMP/WR/2298,TUAPIM SMALL SCALE MINING,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-08,2025-09-07,Gold,"POLYGON ((-2.1908333333 4.9666666667, -2.1908333333 4.9616666667, -2.1916666667 4.9616666667, -2.1916666667 4.9608333333, -2.1933333333 4.9608333333, -2.1933333333 4.9625, -2.1916666667 4.9625, -2.1916666667 4.9666666667, -2.1908333333 4.9666666667, -2.1908333333 4.9666666667))"
SSMP 618 CR,SSMP 618 CR,Tudjani Company Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2021-05-10,2026-05-09,Gold,"POLYGON ((-1.5681055555555556 5.576822222222222, -1.5680944444444445 5.579611111111111, -1.5651833333333334 5.579613888888889, -1.5651916666666668 5.576825, -1.5681055555555556 5.576822222222222, -1.5681055555555556 5.576822222222222))"
SSMP/6/2385,SSMP/6/2385,TWENTIETH CENTURY,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-08,2025-09-07,Gold,"POLYGON ((-1.6066666667 6.1541666667, -1.6066666667 6.1558333333, -1.6016666667 6.1558333333, -1.6016666667 6.1541666667, -1.6066666667 6.1541666667, -1.6066666667 6.1541666667))"
WR/2324,WR/2324,Twist And Turns Mining Company Limited,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-17,2025-09-16,Gold,"POLYGON ((-2.8 5.8541666667, -2.7983333333 5.8541666667, -2.7983333333 5.8533333333, -2.7975 5.8533333333, -2.7975 5.8525, -2.7983333333 5.8525, -2.7983333333 5.8516666667, -2.7991666667 5.8516666667, -2.7991666667 5.8525, -2.8008333333 5.8525, -2.8008333333 5.855, -2.8 5.855, -2.8 5.8541666667, -2.8 5.8541666667))"
SSMP/5/2025,SSMP/5/2025,"Rowgee Ltd., Ramco",Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-05,2025-10-04,"Gold,Diamonds","POLYGON ((-0.4358333333 6.3491666667, -0.4333333333 6.3491666667, -0.4333333333 6.3458333333, -0.4358333333 6.3458333333, -0.4358333333 6.3491666667, -0.4358333333 6.3491666667))"
SSMP/5/2032,SSMP/5/2032,MC Under Review,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-05,2025-10-04,Gold,"POLYGON ((-0.4341666667 6.3358333333, -0.4341666667 6.3383333333, -0.4316666667 6.3383333333, -0.4316666667 6.3341666667, -0.4325 6.3341666667, -0.4325 6.335, -0.4333333333 6.335, -0.4333333333 6.3358333333, -0.4341666667 6.3358333333, -0.4341666667 6.3358333333))"
SSMP/6/2285,SSMP/6/2285,UNIFIED MINING ENT,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-07,2025-09-06,Gold,"POLYGON ((-1.5625 6.3458333333, -1.5625 6.3491666667, -1.5608333333 6.3491666667, -1.5608333333 6.3458333333, -1.5625 6.3458333333, -1.5625 6.3458333333))"
AR/1440,AR/1440,Sika Global Investment Ltd,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2016-04-08,2026-05-10,Gold,"POLYGON ((-1.2975055555555555 6.3947222222, -1.300836111111111 6.394444444445, -1.300836111111111 6.397505555555556, -1.2975055555555555 6.396675, -1.2975055555555555 6.3947222222, -1.2975055555555555 6.3947222222))"
SSMP/6/2267,SSMP/6/2267,Silverling Mining Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-10-07,2025-10-06,Gold,"POLYGON ((-1.5625 6.3625, -1.5625 6.3641666667, -1.5583333333 6.3641666667, -1.5583333333 6.3625, -1.5625 6.3625, -1.5625 6.3625))"
ER/835,ER/835,Siwag Ventures,Small Scale Licence (Akim Oda District),GH,Active License,2020-05-21,2025-05-20,Gold,"POLYGON ((-0.6583333333 6.3558333333, -0.6591666667 6.3558333333, -0.6591666667 6.3566666667, -0.6608333333 6.3566666667, -0.6608333333 6.3583333333, -0.6583333333 6.3583333333, -0.6583333333 6.3558333333, -0.6583333333 6.3558333333))"
SSMP/6/2663,SSMP/6/2663,VICTORY MINING,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-12-24,2025-12-23,Gold,"POLYGON ((-1.7375 6.0975, -1.7375 6.0941666667, -1.7383333333 6.0941666667, -1.7383333333 6.095, -1.7391666667 6.095, -1.7391666667 6.0975, -1.7375 6.0975, -1.7375 6.0975))"
SSMP/6/2386,SSMP/6/2386,Sixty Century Mining Enterprise,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-17,2025-09-16,Gold,"POLYGON ((-1.6 6.15, -1.6 6.1533333333, -1.5983333333 6.1533333333, -1.5983333333 6.1508333333, -1.5991666667 6.1508333333, -1.5991666667 6.15, -1.6 6.15, -1.6 6.15))"
SSMP/9/282,SSMP/9/282,Sogal Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Active License,2020-09-07,2025-09-06,Gold,"POLYGON ((-0.9083333333 10.7391666667, -0.9058333333 10.7391666667, -0.9058333333 10.7358333333, -0.9083333333 10.7358333333, -0.9083333333 10.7391666667, -0.9083333333 10.7391666667))"
